시설물명,위도,경도,발생건수,accident_label,structure_risk,risk_prob,risk_prob_calibrated,safety_score,safety_grade
광명푸른숲어린이집,37.477792276,126.850856427,0,0,0.3944210723763463,0.3032699146652088,0.07822824079955372,0.0,D
광명남초등학교,37.476246648,126.852962238,0,0,0.24281522956484117,0.3401832042538411,0.07754529027963653,0.2879798480302966,D
엄지창의어린이집,37.475694904,126.849686489,0,0,0.5003806256885124,0.13169279432968528,0.05990621685480644,8.763985553512232,D
광명동초등학교,37.483389861,126.863980047,0,0,0.14865112317984472,0.09116920158869733,0.05281908466346682,12.899086044452538,D
광일초등학교,37.471016793,126.847024959,0,0,0.0485567178040225,0.049258154167110775,0.04485183569325917,18.269069039732376,D
가림초등학교,37.458199404,126.880148027,0,0,0.3623528026659465,0.023651771244396623,0.0430168093778901,19.641009472636167,D
큰별어린이집,37.436146295,126.877327277,0,0,0.18622867067567955,0.0263984007367376,0.0412708228056842,21.0018364657971,D
아란유치원,37.437261872,126.879689153,0,0,0.15001286763021185,0.02300336494895021,0.038157652227986026,23.57764140583593,D
예솔유치원,37.456700229,126.87841054,0,0,0.3623528026659465,0.012653919990794966,0.03769433402112908,23.978860460807883,D
철산어린이집,37.482189184,126.862267533,0,0,0.4626486414862728,0.011042575219295917,0.0355912270283214,25.864357926912003,D
산들유치원,37.454875307,126.860017887,0,0,0.14912211069000458,0.015224780809168519,0.03355655119124653,27.79768853466204,D
광명서초등학교,37.477852489,126.847357982,0,0,0.3867188322589032,0.004460005615782228,0.031421516674760834,29.956716230197983,D
가림유치원,37.463910106,126.868203087,0,0,0.23084886026611742,0.003965862468439096,0.030718505576439955,30.699860351578366,D
서면초등학교,37.43866026,126.879510582,0,0,0.19870497838608697,0.006957994560155277,0.029960443082836057,31.52050151641434,C
하안초등학교,37.463744031,126.874382633,0,0,0.4133870170442845,0.005325854433360781,0.028775081508377792,32.84628530453935,C
광명초등학교,37.480582748,126.858215136,0,0,0.18042656068481883,0.006810867884385356,0.02618769244819051,35.94069600290591,C
파랑새유치원,37.461323282,126.881383058,0,0,0.21898031662193596,0.0025286913411324695,0.024608471916925265,37.98344771345079,C
예원유치원,37.461271246,126.877311964,0,0,0.3623528026659465,0.0011374846464435547,0.02326934871878498,39.821099359758556,C
온신초등학교,37.442701862,126.84573469,0,0,0.6337533446035635,0.00018323266386305532,0.02161874152757504,42.23751814298556,C
예크어린이집,37.469854145,126.855135297,0,0,0.3804787222492811,0.000253036897901392,0.020671037717973958,43.70974136855676,C
삼흥유치원,37.477651417,126.868859296,0,0,0.3623528026659465,0.0005606937561677891,0.020065568544969648,44.686085486179564,C
안서초등학교,37.402053882,126.871781379,0,0,0.3322406764868589,3.726841053863524e-05,0.01954450449695656,45.55020588894231,C
광문초등학교,37.467074602,126.851639329,0,0,0.3388438894038858,0.0004432948647523595,0.01935677104205193,45.86719543696972,C
구름산유치원,37.455660136,126.882185903,0,0,0.35274061395476114,1.0188517237223934e-05,0.019186527837592025,46.15732198256853,C
하안남초등학교,37.461014207,126.885382868,0,0,0.3623528026659465,0.00026254128734065976,0.019172935520023766,46.18059671774811,C
혜성유치원,37.46683873,126.879237896,0,0,0.3623528026659465,0.00017440052014672483,0.01869018144395261,47.018119947218345,C
하안북초등학교,37.465514167,126.867288614,0,0,0.4772933662953405,0.00013092707401888542,0.018169899444573076,47.94532353069903,B
광명생명숲어린이집,37.432308566,126.877817192,0,0,0.49961468753442145,0.00012709348249034398,0.017711518246524154,48.78448313333546,B
연서초등학교,37.466263613,126.880934844,0,0,0.3263710707570018,0.00020862841479734405,0.017607901315548662,48.97718332789144,B
예지유치원,37.490201801,126.867907656,2,1,0.3623528026659465,0.0001327623776373168,0.016678264114079046,50.758596993538674,B
예지유치원,37.490201801,126.867907656,2,1,0.3623528026659465,0.0001327623776373168,0.016678264114079046,50.758596993538674,B
광성초등학교,37.477602811,126.872541416,0,0,0.0731984705753227,2.3332481010340953e-05,0.01638524747993898,51.34072488563989,B
녹야유치원,37.47927063,126.857818996,0,0,0.6225970272676864,0.0002517786065261456,0.016004591296945824,52.112708065712276,B
광명북초등학교,37.487367731,126.868000893,2,1,0.28226374047959485,5.668437000113439e-05,0.015547907767293976,53.06347847370879,B
광명북초등학교,37.487367731,126.868000893,2,1,0.28226374047959485,5.668437000113439e-05,0.015547907767293976,53.06347847370879,B
세교유치원,37.42002424,126.848711399,0,0,0.2600617698176376,3.4643035060765394e-05,0.014210181211905351,56.01821559701098,B
구름산초등학교,37.453765538,126.88443634,0,0,0.4354025130555569,2.8195806697960026e-07,0.014164759288944867,56.123362059969395,B
예림유치원,37.468769887,126.852729513,0,0,0.3623528026659465,3.272914483734415e-06,0.013323136832471343,58.13511812942267,B
한마음유치원,37.467165937,126.875826468,0,0,0.23683148227535314,2.3670147882263922e-06,0.012763549629646704,59.54433950600927,A
트인아이유치원,37.434968089,126.886029485,0,0,0.5869023374913439,7.2340055035841544e-06,0.011303177329153972,63.534994509724264,A
충현초등학교,37.432490073,126.884626583,0,0,0.34150811451408686,9.495739402546294e-07,0.009294749034594178,69.96007574686607,A
소하초등학교,37.447116781,126.888053937,0,0,0.4588706698529568,4.858114697627074e-10,0.006957474180526706,79.47229743452408,A
하일초등학교,37.469301665,126.876139495,0,0,0.5407820492656126,4.114062014980544e-08,0.0069250170365274845,79.6258678030361,A
안현초등학교,37.470454112,126.868184636,0,0,0.48628357278579176,2.079204011794292e-09,0.006879529739345335,79.84230569306109,A
철산초등학교,37.46984647,126.873334063,0,0,0.3623528026659465,1.7312905400247778e-08,0.006839585023228821,80.03355427223762,A
홍익어린이집,37.474168784,126.864568531,0,0,0.3623528026659465,1.6811974910753605e-08,0.006569692903936193,81.35578488233146,A
광덕초등학교,37.472941774,126.867567576,0,0,0.3623528026659465,1.1128063695030592e-10,0.0050187269752295744,90.19991708863591,A
빛가온유치원,37.416952326,126.888264888,0,0,0.5675281559998359,6.773250656526796e-09,0.004769658524005239,91.87164329900261,A
구름산어린이집,37.468178692,126.865305483,0,0,0.8039358666088768,4.4379531112000815e-09,0.004726634284907891,92.16923842421077,A
마리아어린이집,37.471790925,126.865684408,0,0,0.2877846408400738,8.293988986486111e-12,0.004355208701511898,94.85708129395137,A
빛가온초등학교,37.413689906,126.882025537,0,0,0.6123051570195911,1.492586718381715e-11,0.0037239250908714314,100.0,A
